Experience Name: 20170809 BTEX 40ppbv 2min
Operator Name: 
Start time: 8/9/2017 4:16:20 PM 8/9/2017 4:16:20 PM
Sampling/Pumping time: 120
Waiting time: 20
Lowest Temperature: 50
Low holding time: 0.5
Temperature 1: 80
Temp1 holding time: 0.5
Ramping speed 1: 15
Temperature2: 80
Temp2 holding time: 0
Ramping speed 2: 30.0
Time,PID1,PID2,Temp,Setpoint,pressure,pwm%

0.06399536,110.23902130,0.00000000,49.99563980,50.00000000,9.75157356,21.66222190
0.16000366,122.70704650,0.00000000,50.02326965,50.00000000,9.75115013,0.00000000
0.25599670,146.47213745,0.00000000,50.02975463,50.00000000,9.75111675,0.00000000
0.35200500,175.48323059,0.00000000,50.03137588,50.00000000,9.75098896,0.00000000
0.44799804,203.96499633,0.00000000,50.01008605,50.00000000,9.75091457,0.00000000
0.54400634,227.23303222,0.00000000,50.01630783,50.00000000,9.75090789,0.00000000
0.63999938,243.81986999,0.00000000,49.98393249,50.00000000,9.75135517,21.66288757
0.73599243,255.47975158,0.00000000,49.97558593,50.00000000,9.75121688,21.66612434
0.83200073,263.52914428,0.00000000,49.97050857,50.00000000,9.75212669,21.66853332
0.92799377,266.93371582,0.00000000,50.00126647,50.00000000,9.75152778,0.00000000
1.02400207,268.36746215,0.00000000,50.01001358,50.00000000,9.75146198,0.00000000
1.11999511,263.11828613,0.00000000,50.01378250,50.00000000,9.75147628,0.00000000
1.21600341,259.40792846,0.00000000,49.99015426,50.00000000,9.75160026,21.66218185
1.31199645,247.66197204,0.00000000,50.13299179,50.00000000,9.75169181,0.00000000
1.40800476,242.85391235,0.00000000,50.02293777,50.00000000,9.75120544,0.00000000
1.50399780,227.81236267,0.00000000,49.97468185,50.00000000,9.75147438,21.66290473
1.60000610,222.71455383,0.00000000,50.02346038,50.00000000,9.75083637,0.00000000
1.69599914,207.83583068,0.00000000,49.98371887,50.00000000,9.75219345,21.65997886
1.79200744,202.76083374,0.00000000,49.97348785,50.00000000,9.75112819,21.66384506
1.88800048,190.83222961,0.00000000,50.00806045,50.00000000,9.75240325,0.00000000
1.98399353,185.41294860,0.00000000,50.02951812,50.00000000,9.75145721,0.00000000
2.08000183,176.56477355,0.00000000,50.02646636,50.00000000,9.75295448,0.00000000
2.17599487,171.24188232,0.00000000,49.99465942,50.00000000,9.75117015,21.65573310
2.27200317,165.60377502,0.00000000,50.01509475,50.00000000,9.75223922,0.00000000
2.36799621,160.88592529,0.00000000,50.01738357,50.00000000,9.75147819,0.00000000
2.46400451,156.95681762,0.00000000,50.03409576,50.00000000,9.75196838,0.00000000
2.55999755,152.95300292,0.00000000,50.02503585,50.00000000,9.75152111,0.00000000
2.65600585,151.61225891,0.00000000,49.99732971,50.00000000,9.75120925,21.65226364
2.75199890,146.82246398,0.00000000,50.00863265,50.00000000,9.75139904,0.00000000
2.84800720,148.07006835,0.00000000,49.99778366,50.00000000,9.75144290,21.65193557
2.94400024,142.46269226,0.00000000,50.12691116,50.00000000,9.75104236,0.00000000
3.03999328,145.86730957,0.00000000,50.03342819,50.00000000,9.75119686,0.00000000
3.13600158,138.06925964,0.00000000,50.04861450,50.00000000,9.75166893,0.00000000
3.23199462,142.18934631,0.00000000,49.98311996,50.00000000,9.75153541,21.65057182
3.32800292,135.21032714,0.00000000,49.98011779,50.00000000,9.75184440,21.65206718
3.42399597,137.93310546,0.00000000,50.02312850,50.00000000,9.75109577,0.00000000
3.52000427,132.52993774,0.00000000,50.06313323,50.00000000,9.75236320,0.00000000
3.61599731,133.58604431,0.00000000,50.01668930,50.00000000,9.75135612,0.00000000
3.71200561,130.62481689,0.00000000,50.01182556,50.00000000,9.75273418,0.00000000
3.80799865,129.93116760,0.00000000,50.03521728,50.00000000,9.75142002,0.00000000
3.90400695,129.12782287,0.00000000,50.02761077,50.00000000,9.75230121,0.00000000
4.00000000,128.56675720,0.00000000,50.01018142,50.00000000,9.75127124,0.00000000
4.09599304,127.85761260,0.00000000,50.00405502,50.00000000,9.75189018,0.00000000
4.19200134,126.41979980,0.00000000,50.01070785,50.00000000,9.75140857,0.00000000
4.28799438,127.86888885,0.00000000,49.99039459,50.00000000,9.75148868,21.64319610
4.38400268,125.85488128,0.00000000,49.97708892,50.00000000,9.75146675,21.64787673
4.47999572,128.92701721,0.00000000,50.00617599,50.00000000,9.75133228,0.00000000
4.57600402,124.95859527,0.00000000,50.00314712,50.00000000,9.75107574,0.00000000
4.67199707,130.01362609,0.00000000,49.98292922,50.00000000,9.75097560,21.64635658
4.76800537,123.87968444,0.00000000,50.01521301,50.00000000,9.75123882,0.00000000
4.86399841,128.96757507,0.00000000,50.02088546,50.00000000,9.75128364,0.00000000
4.96000671,122.55424499,0.00000000,49.98803329,50.00000000,9.75214099,21.64410018
5.05599975,126.76071929,0.00000000,49.99556732,50.00000000,9.75140476,21.64197158
5.15199279,122.16143035,0.00000000,50.01573562,50.00000000,9.75227737,0.00000000
5.24800109,124.36170196,0.00000000,50.00119400,50.00000000,9.75110530,0.00000000
5.34399414,121.72944641,0.00000000,50.03080368,50.00000000,9.75271701,0.00000000
5.44000244,121.89175415,0.00000000,49.98600769,50.00000000,9.75129985,21.64382743
5.53599548,120.69636535,0.00000000,50.01916885,50.00000000,9.75223064,0.00000000
5.63200378,120.21309661,0.00000000,49.98345565,50.00000000,9.75148010,21.64451026
5.72799682,120.11517333,0.00000000,49.99997711,50.00000000,9.75180053,21.63955497
5.82400512,120.27563476,0.00000000,50.01077651,50.00000000,9.75150394,0.00000000
5.91999816,120.04286193,0.00000000,50.01454544,50.00000000,9.75142002,0.00000000
6.01600646,119.76808166,0.00000000,50.01707077,50.00000000,9.75124549,0.00000000
6.11199951,119.80474853,0.00000000,50.03028106,50.00000000,9.75104236,0.00000000
6.20799255,119.48482513,0.00000000,49.99816513,50.00000000,9.75100612,21.63797569
6.30400085,119.39668273,0.00000000,49.98345565,50.00000000,9.75103950,21.64288330
6.39999389,119.30933380,0.00000000,49.98769760,50.00000000,9.75083827,21.64197921
6.49600219,118.35213470,0.00000000,50.02980422,50.00000000,9.75072479,0.00000000
6.59199523,118.35366058,0.00000000,50.04005432,50.00000000,9.75125408,0.00000000
6.68800354,118.09714508,0.00000000,50.03543090,50.00000000,9.75127696,0.00000000
6.78399658,118.17401885,0.00000000,50.03767013,50.00000000,9.75133132,0.00000000
6.88000488,117.95069122,0.00000000,50.01397323,50.00000000,9.75102138,0.00000000
6.97599792,117.88509368,0.00000000,50.02684783,50.00000000,9.75087070,0.00000000
7.07200622,117.73063659,0.00000000,50.02918243,50.00000000,9.75094699,0.00000000
