Experience Name: 20170815 800ppbv BTEX 0.2min2
Operator Name: 
Start time: 8/15/2017 11:21:54 AM 8/15/2017 11:21:54 AM
Sampling/Pumping time: 12
Waiting time: 20
Lowest Temperature: 50
Low holding time: 0.5
Temperature 1: 80
Temp1 holding time: 0.5
Ramping speed 1: 15
Temperature2: 80
Temp2 holding time: 0
Ramping speed 2: 30.0
Time,PID1,PID2,Temp,Setpoint,pressure,pwm%

0.15999984,106.20397186,133.26757812,50.10442733,50.00000000,9.75174427,0.00000000
0.25600051,105.89952087,132.33467102,50.08544921,50.00000000,9.75198364,0.00000000
0.35200119,105.96391296,133.05644226,50.08630752,50.00000000,9.75231742,0.00000000
0.44800186,105.85279083,132.68992614,50.10757446,50.00000000,9.75184345,0.00000000
0.54399871,105.98796844,132.29983520,50.08197021,50.00000000,9.75214195,0.00000000
0.63999938,105.72428131,132.27581787,50.10409545,50.00000000,9.75186634,0.00000000
0.73600006,104.21913909,131.92201232,50.04999923,50.00000000,9.75221920,0.00000000
0.83200073,105.61920928,132.16612243,50.10235595,50.00000000,9.75211143,0.00000000
0.92800140,105.62332916,132.49879455,50.06036758,50.00000000,9.75249767,0.00000000
1.02399826,105.82025146,138.44786071,49.96535873,50.00000000,9.75246810,27.23116493
1.11999893,104.68204498,138.23127746,50.10449981,50.00000000,9.75216960,0.00000000
1.21599960,105.71050262,138.14201354,50.07684326,50.00000000,9.75281620,0.00000000
1.31200027,104.56497955,129.70043945,50.01709747,50.00000000,9.75384616,0.00000000
1.40800094,105.52501678,131.85363769,50.03485870,50.00000000,9.75296497,0.00000000
1.50400161,104.37325286,133.16120910,50.03140258,50.00000000,9.75249004,0.00000000
1.59999847,110.48535156,132.56919860,49.99413681,50.00000000,9.75189018,27.21476554
1.69599914,109.72853088,132.09219360,41.52011871,50.00000000,9.75171279,30.01136779
1.79199981,111.11866760,131.29414367,50.21071624,50.00000000,9.75207996,0.00000000
1.88800048,108.74788665,131.40190124,50.03378677,50.00000000,9.75200080,0.00000000
1.98400115,105.15004730,132.31787109,50.06425476,50.00000000,9.75237846,0.00000000
2.08000183,105.75018310,131.74873352,50.08981323,50.00000000,9.75228309,0.00000000
2.17599868,105.42055511,127.80759429,50.03569412,50.00000000,9.75237464,0.00000000
2.27199935,105.31600952,131.32562255,50.00171661,50.00000000,9.75205898,0.00000000
2.36800003,104.96219635,131.95434570,50.01506805,50.00000000,9.75218296,0.00000000
2.46400070,105.09050750,131.16328430,49.98774719,50.00000000,9.75254535,27.45791625
2.56000137,105.04727935,131.20466613,50.24864959,50.00000000,9.75085735,0.00000000
2.65599822,104.92134857,138.18725585,50.02317428,50.00000000,9.75242900,0.00000000
2.75199890,104.42388916,137.24807739,50.01414108,50.00000000,9.75331878,0.00000000
2.84799957,104.77210998,137.34887695,50.03223419,50.00000000,9.75398063,0.00000000
2.94400024,102.70298767,129.49723815,50.02555847,50.00000000,9.75367641,0.00000000
3.04000091,104.67298126,131.98484802,50.01786041,50.00000000,9.75259399,0.00000000
3.13600158,104.89154815,131.84356689,49.99263381,50.00000000,9.75191402,27.44582557
3.23199844,108.49942779,131.80325317,47.49436569,50.00000000,9.75139808,28.27047348
3.32799911,110.80096435,131.48812866,50.14226531,50.00000000,9.75232410,0.00000000
3.42399978,110.41202545,130.83006286,50.01762008,50.00000000,9.75208187,0.00000000
3.52000045,108.57271575,130.30819702,50.06299209,50.00000000,9.75193214,0.00000000
3.61600112,104.36261749,131.32678222,49.97551727,50.00000000,9.75182914,27.52017593
3.71200180,105.00022888,131.97805786,50.89564514,50.00000000,9.75247764,0.00000000
3.80799865,104.94526672,130.60240173,50.02160263,50.00000000,9.75242042,0.00000000
3.90399932,104.41577148,130.66476440,50.02312850,50.00000000,9.75240707,0.00000000
4.00000000,102.29985046,130.95948791,50.08647537,50.00000000,9.75234794,0.00000000
4.09600067,104.40085601,130.42541503,50.01452255,50.00000000,9.75237464,0.00000000
4.19200134,104.22040557,130.17973327,49.99232482,50.00000000,9.75230789,27.48412322
4.28799819,104.28515625,137.39389038,49.93894195,50.00000000,9.75234794,27.50197029
4.38399887,104.26310729,136.52297973,47.74694442,50.00000000,9.75206279,28.22716140
4.47999954,104.26892089,137.37962341,50.92385101,50.00000000,9.75377178,0.00000000
4.57600021,104.07167816,124.11288452,50.10018539,50.00000000,9.75382804,0.00000000
4.67200088,104.15863800,131.85681152,50.16484451,50.00000000,9.75314998,0.00000000
4.76800155,102.62920379,132.11500549,50.10953140,50.00000000,9.75255298,0.00000000
4.86399841,109.55191802,131.02456665,50.12300109,50.00000000,9.75195503,0.00000000
4.95999908,110.58143615,130.60739135,50.16107559,50.00000000,9.75207233,0.00000000
5.05599975,110.04867553,130.42218017,50.09057617,50.00000000,9.75222015,0.00000000
5.15200042,109.32847595,130.61997985,50.12135696,50.00000000,9.75217819,0.00000000
5.24800109,104.52938842,131.09889221,50.10752868,50.00000000,9.75225067,0.00000000
5.34400177,104.34848785,130.69360351,50.12433624,50.00000000,9.75201129,0.00000000
5.43999862,104.24032592,129.93865966,50.11329650,50.00000000,9.75223350,0.00000000
5.53599929,103.96578979,130.57899475,50.07078933,50.00000000,9.75199317,0.00000000
5.63199996,103.81552886,130.55822753,50.12843704,50.00000000,9.75152111,0.00000000
5.72800064,103.88116455,130.48434448,50.14963150,50.00000000,9.75068950,0.00000000
5.82400131,103.18991851,132.79464721,50.11432266,50.00000000,9.75182056,0.00000000
5.91999816,101.77359771,130.82771301,50.01001358,50.00000000,9.75167751,0.00000000
6.01599884,103.67350769,131.01478576,50.06766510,50.00000000,9.75244712,0.00000000
6.11199951,103.78077697,130.11343383,50.09262847,50.00000000,9.75169181,0.00000000
6.20800018,103.87941741,129.87469482,50.02904129,50.00000000,9.75216579,0.00000000
6.30400085,103.71794128,130.02871704,50.04062652,50.00000000,9.75231266,0.00000000
6.40000152,103.59977722,130.35893249,50.06735610,50.00000000,9.75233554,0.00000000
6.49599838,103.50683593,130.49188232,50.01731109,50.00000000,9.75243186,0.00000000
6.59199905,103.66853332,129.59739685,49.98672103,50.00000000,9.75076484,27.46780776
6.68799972,103.75403594,130.49252319,47.76656723,50.00000000,9.75182151,28.20085525
6.78400039,103.67480468,129.88616943,50.36835861,50.00000000,9.75249195,0.00000000
6.88000106,103.67882537,130.44729614,50.01630783,50.00000000,9.75238513,0.00000000
6.97600173,103.55663299,129.85488891,50.00653457,50.00000000,9.75219917,0.00000000
7.07199859,103.48339080,129.84085083,50.08340072,50.00000000,9.75234413,0.00000000
7.16799926,103.39019012,129.53408813,50.03526306,50.00000000,9.75239944,0.00000000
7.26399993,103.60304260,131.23291015,50.04899597,50.00000000,9.75214672,0.00000000
7.36000061,103.48480224,130.41288757,50.01034927,50.00000000,9.75226116,0.00000000
7.45600128,103.56962585,129.35253906,50.00648498,50.00000000,9.75226402,0.00000000
7.55199813,103.38713836,129.73193359,49.97165298,50.00000000,9.75251102,27.52291107
7.64799880,103.35812377,129.75714111,49.97160720,50.00000000,9.75193595,27.52377700
7.74399948,103.50596618,130.37077331,49.79489135,50.00000000,9.75195884,27.58294296
7.84000015,103.52059173,129.85894775,45.54772567,50.00000000,9.75181293,28.99066162
