Experience Name: 20170815 800ppbv BTEX 0.2min
Operator Name: 
Start time: 8/15/2017 11:11:31 AM 8/15/2017 11:11:31 AM
Sampling/Pumping time: 12
Waiting time: 20
Lowest Temperature: 50
Low holding time: 0.5
Temperature 1: 80
Temp1 holding time: 0.5
Ramping speed 1: 15
Temperature2: 80
Temp2 holding time: 0
Ramping speed 2: 30.0
Time,PID1,PID2,Temp,Setpoint,pressure,pwm%

0.06399918,103.99251556,130.46566772,50.08781051,50.00000000,9.75313282,0.00000000
0.15999984,103.42095184,130.10174560,50.12095260,50.00000000,9.75266075,0.00000000
0.25600051,103.25565338,130.26412963,50.07291030,50.00000000,9.75253868,0.00000000
0.35200119,103.29881286,130.03491210,50.04956817,50.00000000,9.75111103,0.00000000
0.44800186,103.29582214,129.69488525,50.06771087,50.00000000,9.75258064,0.00000000
0.54399871,103.21630859,129.50262451,50.06723403,50.00000000,9.75286102,0.00000000
0.63999938,102.96073913,129.74081420,50.11835098,50.00000000,9.75277519,0.00000000
0.73600006,101.31803894,130.10140991,50.02675247,50.00000000,9.75266170,0.00000000
0.83200073,103.09327697,129.56977844,50.09896850,50.00000000,9.75293922,0.00000000
0.92800140,103.30406188,130.35836791,50.06220626,50.00000000,9.75310039,0.00000000
1.02399826,102.54039001,130.47695922,50.07489013,50.00000000,9.75248622,0.00000000
1.11999893,103.25978851,129.81153869,50.06380081,50.00000000,9.75283336,0.00000000
1.21599960,102.99638366,129.48207092,50.05600738,50.00000000,9.75309753,0.00000000
1.31200027,102.11334228,135.39166259,50.00188446,50.00000000,9.75272178,0.00000000
1.40800094,103.01671600,135.45416259,49.93174362,50.00000000,9.75427532,30.55555534
1.50400161,102.79435729,135.89048767,44.00298690,50.00000000,9.75410270,32.51409149
1.59999847,102.58930206,128.49057006,51.95868301,50.00000000,9.75427532,0.00000000
1.69599914,102.87767028,129.81730651,50.03989028,50.00000000,9.75415229,0.00000000
1.79199981,106.11352539,129.66049194,50.04811477,50.00000000,9.75250530,0.00000000
1.88800048,109.07301330,130.07894897,50.08077621,50.00000000,9.75278377,0.00000000
1.98400115,108.39589691,129.03878784,50.08533096,50.00000000,9.75278663,0.00000000
2.08000183,108.41316223,129.35992431,50.02813339,50.00000000,9.75170135,0.00000000
2.17599868,106.02187347,128.52728271,50.01111221,50.00000000,9.75296497,0.00000000
2.27199935,102.29851531,125.22654724,50.03369140,50.00000000,9.75281810,0.00000000
2.36800003,103.13709259,128.99822998,50.00712966,50.00000000,9.75337791,0.00000000
2.46400070,102.76503753,128.85684204,50.01995849,50.00000000,9.75268459,0.00000000
2.56000137,102.55127716,129.90667724,49.98841476,50.00000000,9.75285530,30.64942169
2.65599822,102.46829986,128.78471374,47.49326705,50.00000000,9.75241661,31.47316932
2.75199890,102.29493713,128.74212646,50.38962554,50.00000000,9.75268173,0.00000000
2.84799957,102.31130218,135.66860961,49.97119903,50.00000000,9.75310611,30.71896362
2.94400024,102.11399841,135.03187561,49.78501892,50.00000000,9.75316238,30.78126907
3.04000091,100.11437225,134.50051879,47.34628295,50.00000000,9.75378608,31.59250259
3.13600158,102.17134857,135.21583557,52.03588104,50.00000000,9.75483798,0.00000000
3.23199844,102.28073120,129.42164611,50.08802413,50.00000000,9.75473785,0.00000000
3.32799911,102.20861053,129.28210449,50.15809631,50.00000000,9.75425529,0.00000000
3.42399978,104.08541870,129.10668945,50.17388153,50.00000000,9.75257015,0.00000000
3.52000045,108.50849914,128.45468139,50.10054397,50.00000000,9.75301933,0.00000000
3.61600112,107.80459594,124.16513061,50.11367797,50.00000000,9.75284767,0.00000000
3.71200180,107.93962860,128.43353271,50.12276458,50.00000000,9.75310039,0.00000000
3.80799865,104.24422454,128.49504089,50.18823242,50.00000000,9.75312709,0.00000000
