Experience Name: 20170816 1ppmv BTEX 1min#1
Operator Name: 
Start time: 8/16/2017 11:45:00 AM 8/16/2017 11:45:00 AM
Sampling/Pumping time: 60
Waiting time: 20
Lowest Temperature: 50
Low holding time: 0.5
Temperature 1: 80
Temp1 holding time: 0.5
Ramping speed 1: 15
Temperature2: 80
Temp2 holding time: 0
Ramping speed 2: 30.0
Time,PID1,PID2,Temp,Setpoint,pressure,pwm%

0.06400299,104.65377044,8.43835163,49.97720718,50.00000000,9.75216960,21.51779747
0.16000366,104.20166015,0.00000000,50.03662109,50.00000000,9.75145244,0.00000000
0.25599670,103.94353485,0.00000000,50.04735183,50.00000000,9.75177955,0.00000000
0.35199737,104.08348846,0.00000000,50.02129364,50.00000000,9.75148963,0.00000000
0.44799804,103.60778045,8.43551063,49.99165725,50.00000000,9.75176429,21.51055335
0.54399871,103.79489898,0.00000000,50.02820587,50.00000000,9.75155639,0.00000000
0.63999938,103.36697387,0.00000000,50.04262924,50.00000000,9.75179481,0.00000000
0.73600006,103.66587066,0.00000000,50.01192092,50.00000000,9.75146102,0.00000000
0.83200073,103.21598052,0.00000000,50.02844619,50.00000000,9.75167465,0.00000000
0.92800140,106.74011993,0.00000000,50.00922775,50.00000000,9.75170898,0.00000000
1.02400207,106.42405700,8.43502998,49.98519515,50.00000000,9.75222492,21.50932502
1.12000274,106.79285430,0.00000000,50.00291061,50.00000000,9.75186157,0.00000000
1.21600341,106.36676788,0.00000000,50.01411437,50.00000000,9.75223445,0.00000000
1.31199645,105.84204864,0.00000000,50.00164794,50.00000000,9.75228881,0.00000000
1.40799713,104.99620056,8.43419170,49.99132156,50.00000000,9.75270462,21.50718879
1.50399780,104.05909729,0.00000000,50.01649856,50.00000000,9.75269699,0.00000000
1.59999847,103.14723968,0.00000000,50.02122116,50.00000000,9.75283145,0.00000000
1.69599914,102.83702850,8.43463993,49.98521804,50.00000000,9.75286102,21.50833129
1.79199981,103.07219696,8.43341827,49.99599456,50.00000000,9.75272655,21.50521659
1.88800048,102.77247619,8.43398952,49.99194335,50.00000000,9.75265789,21.50667381
1.98400115,102.39602661,0.00000000,50.06589889,50.00000000,9.75250530,0.00000000
2.08000183,102.73537445,0.00000000,50.03562164,50.00000000,9.75178432,0.00000000
2.17600250,102.50836944,0.00000000,50.06532669,50.00000000,9.75220680,0.00000000
2.27200317,102.65178680,0.00000000,50.07073974,50.00000000,9.75197219,0.00000000
2.36799621,103.45126342,0.00000000,50.01926422,50.00000000,9.75222492,0.00000000
2.46399688,104.97869110,8.43260478,49.98002243,50.00000000,9.75182056,21.50314140
2.55999755,105.39752197,0.00000000,50.00732040,50.00000000,9.75182914,0.00000000
2.65599822,105.38621520,0.00000000,50.06337356,50.00000000,9.75226402,0.00000000
2.75199890,105.15366363,0.00000000,50.04394149,50.00000000,9.75217151,0.00000000
2.84799957,105.30426788,0.00000000,50.02558517,50.00000000,9.75245475,0.00000000
2.94400024,104.62928771,0.00000000,50.00984954,50.00000000,9.75220108,0.00000000
3.04000091,104.03079986,0.00000000,50.02818298,50.00000000,9.75237083,0.00000000
3.13600158,102.82965087,0.00000000,50.01328277,50.00000000,9.75290298,0.00000000
3.23200225,101.77436828,0.00000000,50.00140762,50.00000000,9.75301074,0.00000000
3.32800292,102.03148651,0.00000000,50.00810623,50.00000000,9.75252056,0.00000000
3.42400360,101.74645233,0.00000000,50.00069427,50.00000000,9.75269985,0.00000000
3.51999664,101.46363067,0.00000000,50.00453186,50.00000000,9.75268745,0.00000000
3.61599731,101.31623840,8.43600273,49.93682098,50.00000000,9.75242519,21.51180648
3.71199798,101.53965759,8.43009090,49.98824691,50.00000000,9.75167179,21.49673271
3.80799865,101.42432403,8.42963695,49.99282455,50.00000000,9.75196838,21.49557304
3.90399932,101.65847015,8.43388938,49.96061325,50.00000000,9.75195121,21.50641822
4.00000000,103.03133392,0.00000000,50.05378723,50.00000000,9.75185394,0.00000000
4.09600067,103.66794586,0.00000000,50.04384613,50.00000000,9.75201606,0.00000000
4.19200134,104.13749694,0.00000000,50.03347396,50.00000000,9.75211429,0.00000000
4.28800201,104.62553405,0.00000000,50.03915023,50.00000000,9.75173091,0.00000000
4.38400268,104.57343292,8.42920875,49.98488616,50.00000000,9.75222301,21.49448204
4.48000335,104.28737640,0.00000000,50.07073974,50.00000000,9.75224494,0.00000000
4.57599639,103.71556854,0.00000000,50.03264236,50.00000000,9.75256538,0.00000000
4.67199707,102.43610382,0.00000000,50.01716613,50.00000000,9.75283241,0.00000000
4.76799774,101.90780639,0.00000000,50.03252029,50.00000000,9.75294399,0.00000000
4.86399841,101.08284759,0.00000000,50.03032684,50.00000000,9.75315284,0.00000000
4.95999908,100.69664001,8.42650127,49.99051284,50.00000000,9.75296115,21.48757743
5.05599975,100.89770507,8.42545890,49.99942779,50.00000000,9.75284767,21.48492050
5.15200042,100.60437774,0.00000000,50.06144332,50.00000000,9.75264453,0.00000000
5.24800109,100.82584381,0.00000000,50.03385543,50.00000000,9.75202846,0.00000000
5.34400177,100.36251068,0.00000000,50.02780151,50.00000000,9.75198173,0.00000000
5.44000244,100.91139984,0.00000000,50.02560806,50.00000000,9.75174427,0.00000000
5.53600311,101.21125030,0.00000000,50.03545379,50.00000000,9.75201320,0.00000000
5.63200378,102.19081115,0.00000000,50.04029464,50.00000000,9.75176620,0.00000000
5.72799682,103.04205322,0.00000000,50.01382827,50.00000000,9.75212669,0.00000000
5.82399749,103.58334350,0.00000000,50.01325607,50.00000000,9.75204277,0.00000000
5.91999816,100.47775268,8.42623519,49.97060394,50.00000000,9.75214004,21.48690032
6.01599884,100.14009094,8.42370510,49.99282455,50.00000000,9.75196075,21.48044967
6.11199951,100.41699981,8.42339134,49.99589920,50.00000000,9.75187206,21.47964859
6.20800018,100.10511779,0.00000000,50.03330993,50.00000000,9.75219345,0.00000000
6.30400085,100.29861450,0.00000000,50.03035354,50.00000000,9.75186729,0.00000000
6.40000152,100.03704071,0.00000000,50.02885055,50.00000000,9.75202274,0.00000000
6.49600219,100.32302856,0.00000000,50.00586700,50.00000000,9.75168609,0.00000000
6.59200286,99.88758087,0.00000000,50.03352355,50.00000000,9.75195884,0.00000000
6.68800354,100.23951721,0.00000000,50.02009963,50.00000000,9.75178527,0.00000000
6.78399658,99.87445068,0.00000000,50.00734329,50.00000000,9.75195503,0.00000000
6.87999725,100.18067169,0.00000000,50.01120758,50.00000000,9.75157833,0.00000000
6.97599792,99.82288360,8.42424678,49.97415542,50.00000000,9.75213336,21.48183059
7.07199859,100.08092498,8.42281055,49.98760223,50.00000000,9.75179100,21.47816658
7.16799926,99.79978179,0.00000000,50.01356887,50.00000000,9.75214195,0.00000000
7.26399993,100.09582519,0.00000000,50.00643920,50.00000000,9.75174999,0.00000000
7.36000061,99.63124847,0.00000000,50.00519943,50.00000000,9.75210285,0.00000000
7.45600128,99.99305725,0.00000000,50.01390075,50.00000000,9.75172138,0.00000000
7.55200195,99.63370513,0.00000000,50.03163909,50.00000000,9.75220203,0.00000000
7.64800262,99.99216461,0.00000000,50.00851440,50.00000000,9.75180244,0.00000000
7.74400329,99.54532623,8.42335319,49.97732925,50.00000000,9.75203227,21.47954940
7.83999633,99.84046936,0.00000000,50.00367355,50.00000000,9.75168991,0.00000000
7.93599700,99.47411346,8.42333030,49.97923660,50.00000000,9.75197124,21.47949028
8.03199768,99.91057586,0.00000000,50.01866912,50.00000000,9.75171279,0.00000000
8.12799835,99.65092468,8.42433071,49.97170257,50.00000000,9.75201606,21.48204231
8.22399902,99.81205749,0.00000000,50.03156661,50.00000000,9.75173282,0.00000000
8.31999969,99.66265106,0.00000000,50.02217483,50.00000000,9.75205707,0.00000000
8.41600036,99.79953002,0.00000000,50.02541732,50.00000000,9.75181961,0.00000000
8.51200103,99.26382446,0.00000000,50.01666641,50.00000000,9.75194931,0.00000000
8.60800170,99.62776184,8.42175006,49.98550415,50.00000000,9.75182056,21.47546195
8.70400238,99.33281707,0.00000000,50.03452301,50.00000000,9.75189876,0.00000000
8.80000305,99.58195495,0.00000000,50.02606201,50.00000000,9.75191688,0.00000000
8.89600372,99.25439453,0.00000000,50.04313278,50.00000000,9.75196933,0.00000000
8.99199676,99.38739776,8.41942882,49.99532699,50.00000000,9.75203990,21.46954345
9.08799743,99.50474548,0.00000000,50.02009963,50.00000000,9.75173664,0.00000000
9.18399810,99.25182342,0.00000000,50.01454544,50.00000000,9.75203990,0.00000000
9.27999877,99.47239685,0.00000000,50.01118469,50.00000000,9.75226402,0.00000000
9.37599945,99.50552368,0.00000000,50.00946807,50.00000000,9.75190258,0.00000000
9.47200012,99.08572387,0.00000000,50.03795623,50.00000000,9.75211143,0.00000000
9.56800079,99.38124847,0.00000000,50.00188446,50.00000000,9.75199031,0.00000000
9.66400146,99.50011444,8.42209243,49.96652603,50.00000000,9.75179481,21.47633552
9.76000213,99.05044555,0.00000000,50.00162124,50.00000000,9.75205421,0.00000000
9.85600280,99.39685058,8.42028808,49.98336029,50.00000000,9.75181961,21.47173500
9.95200347,99.47843933,0.00000000,50.02527236,50.00000000,9.75179862,0.00000000
10.04799652,99.43279266,0.00000000,50.02379608,50.00000000,9.75215625,0.00000000
10.14399719,99.45317077,8.42194080,49.96764755,50.00000000,9.75173473,21.47594833
10.23999786,99.07505035,0.00000000,50.02045822,50.00000000,9.75217533,0.00000000
